"mon_clave","mon_nombre","mon_pais"
"XOF","FRANCO","181"
"ALL","LEK","2"
"EUR","EURO","3"
"ANG","FLORIN","8"
"SAR","RIYAL","9"
"DZD","DINAR","10"
"ARP","PESO","11"
"AUD","DOLAR","14"
"EUR","EURO","15"
"BSD","DOLAR","17"
"BHD","DINAR","18"
"BBD","DOLAR","20"
"EUR","EURO","21"
"BZD","DOLAR","22"
"BMD","DOLAR","24"
"BOP","BOLIVIANO","26"
"BRC","REAL","29"
"BGL","LEV","31"
"CAD","DOLAR","40"
"CLP","PESO","42"
"CNY","YUAN CONTINENTAL","43"
"CNE","YUAN EXTRACONTINENTAL","43"
"EUR","EURO","44"
"COP","PESO","47"
"KPW","WON","52"
"KRW","WON","53"
"CRC","COLON","55"
"CUP","PESO","57"
"DKK","CORONA","59"
"ECS","DOLAR","62"
"EGP","LIBRA","63"
"SVC","COLON","64"
"AED","DIRHAM","65"
"EUR","EURO","67"
"EUR","EURO","68"
"EUR","EURO","71"
"ETB","BIRR","72"
"USD","DOLAR","70"
"RUR","RUBLO","190"
"FJD","DOLAR","73"
"PHP","PESO","74"
"EUR","EURO","75"
"EUR","EURO","76"
"GHC","CEDI","81"
"STG","LIBRA ESTERLINA","179"
"EUR","EURO","84"
"GTO","QUETZAL","88"
"GYD","DOLAR","92"
"HTG","GOURDE","94"
"EUR","EURO","164"
"HNL","LEMPIRA","95"
"HKD","DOLAR","96"
"HUF","FORIN","97"
"INR","RUPIA","98"
"IDR","RUPIA","99"
"IQD","DINAR","100"
"IRR","RIYAL","101"
"EUR","EURO","102"
"ISK","CORONA","103"
"ILS","SHEKEL","112"
"EUR","EURO","113"
"JMD","DOLAR","114"
"JPY","YEN","115"
"JOD","DINAR","116"
"KES","CHELIN","118"
"KWD","DINAR","120"
"EUR","EURO","123"
"LBP","LIBRA","124"
"LYD","DINAR","126"
"LTT","LITAS","128"
"EUR","EURO","129"
"MYR","RINGGIT","133"
"EUR","EURO","137"
"MAD","DIRHAM","138"
"MXP","PESO","142"
"EUR","EURO","147"
"NIC","CORDOBA","154"
"NGN","NAIRA","156"
"NOK","CORONA","159"
"NZD","DOLAR","161"
"PKR","RUPIA","166"
"ILS","SHEKEL","168"
"PAB","BALBOA","169"
"PYG","GUARANI","171"
"PES","N. SOL","172"
"PLZ","ZLOTY","175"
"EUR","EURO","176"
"USD","DOLAR","177"
"CSK","CORONA","180"
"ZRZ","FRANCO","186"
"RSD","DINAR","183"
"DOP","PESO","184"
"EUR","EURO","185"
"ROL","LEU","189"
"SGD","DOLAR","203"
"SYP","LIBRA","204"
"LKR","RUPIA","206"
"SEK","CORONA","209"
"CHF","FRANCO","210"
"SRG","DOLAR","211"
"THB","BAHT","214"
"TWD","NUEVO DOLAR","215"
"TZS","CHELIN","216"
"TTD","DOLAR","222"
"TRL","LIRA","226"
"UAK","HRYVNA","228"
"ZAR","RAND","207"
"UYP","PESO","230"
"EUR","EURO","49"
"VEB","BOLIVAR FUERTE","233"
"VND","DONG","234"
"YDD","RIAL","237"
"YUD","DINAR","238"
"XXX","OTRAS MONEDAS",""
