"inp_anio","inp_periodo","inp_valor","inp_recargo"
"2011","1","100.228",""
"2011","2","100.604",""
"2011","3","100.797",""
"2011","4","100.789",""
"2011","5","100.046",""
"2011","6","100.041",""
"2011","7","100.521",""
"2011","8","100.68",""
"2011","9","100.927",""
"2011","10","101.608",""
"2011","11","102.707",""
"2011","12","103.551",""
"2012","1","104.284",""
"2012","2","104.496",""
"2012","3","104.556",""
"2012","4","104.228",""
"2012","5","103.899",""
"2012","6","104.378",""
"2012","7","104.964",""
"2012","8","105.279",""
"2012","9","105.743",""
"2012","10","106.278",""
"2012","11","107",""
"2012","12","107.246",""
"2013","1","107.678",""
"2013","2","108.208",""
"2013","3","109.002",""
"2013","4","109.074",""
"2013","5","108.711",""
"2013","6","108.645",""
"2013","7","108.609",""
"2013","8","108.918",""
"2013","9","109.328",""
"2013","10","109.848",""
"2013","11","110.872",""
"2013","12","111.508",""
"2014","1","112.505",""
"2014","2","112.79",""
"2014","3","113.099",""
"2014","4","112.888",""
"2014","5","112.527",""
"2014","6","112.722",""
"2014","7","113.032",""
"2014","8","113.438",""
"2014","9","113.939",""
"2014","10","114.569",""
"2014","11","115.493",""
"2014","12","116.059",""
"2015","1","115.954",""
"2015","2","116.174",""
"2015","3","116.647",""
"2015","4","116.345",""
"2015","5","115.764",""
"2015","6","115.958",""
"2015","7","116.128",""
"2015","8","116.373",""
"2015","9","116.809",""
"2015","10","117.41",""
"2015","11","118.051",""
"2015","12","118.532",""
"2016","1","118.984",""
"2016","2","119.505",""
"2016","3","119.681",""
"2016","4","119.302",""
"2016","5","118.77",""
"2016","6","118.901",""
"2016","7","119.211",""
