ADUANA,PATENTE,PEDIMENTO,FECHA DE PAGO
240,3323,4000006,04/01/2014
240,3323,4000021,10/01/2014
240,3323,4000024,10/01/2014
240,3009,4000661,13/01/2014
240,3009,4001080,20/01/2014
470,3136,4000489,20/01/2014
240,3009,4001315,22/01/2014
240,3323,4000049,22/01/2014
240,3323,4000050,22/01/2014
240,3323,4000057,22/01/2014
240,3323,4000067,29/01/2014
240,3323,4000074,31/01/2014
240,1618,4000432,06/02/2014
470,3136,4001117,11/02/2014
240,1618,4000718,13/02/2014
240,1618,4000768,26/02/2014
470,3136,4001601,26/02/2014
240,1618,4000930,06/03/2014
240,1618,4000934,07/03/2014
470,3136,4002039,13/03/2014
470,3136,4002047,13/03/2014
240,1618,4001256,26/03/2014
470,3136,4002612,28/03/2014
240,1618,4001308,01/04/2014
240,1618,4001369,07/04/2014
240,1618,4001360,10/04/2014
240,3009,4008945,11/04/2014
240,1618,4001397,14/04/2014
240,1618,4001699,25/04/2014
240,1618,4001784,02/05/2014
240,1618,4001860,06/05/2014
240,1618,4001891,13/05/2014
470,3136,4004128,14/05/2014
240,1618,4001916,20/05/2014
240,1618,4001930,23/05/2014
240,1618,4001959,28/05/2014
240,1618,4001972,29/05/2014
240,1618,4001988,04/06/2014
240,1618,4001995,04/06/2014
240,1618,4002354,04/06/2014
240,1618,4002355,04/06/2014
240,1618,4002376,10/06/2014
240,1618,4002386,12/06/2014
240,1618,4002509,16/06/2014
240,1618,4002522,27/06/2014
240,1618,4002923,02/07/2014
240,1618,4002926,07/07/2014
240,1618,4002946,21/07/2014
240,1618,4003434,01/08/2014
240,1618,4003426,06/08/2014
240,1618,4003445,07/08/2014
240,1618,4003608,14/08/2014
240,1618,4003638,25/08/2014
240,1618,4004001,29/08/2014
240,1618,4004175,24/09/2014
240,1618,4004178,03/10/2014
240,1618,4005158,30/10/2014
240,1618,4005184,07/11/2014
240,1618,4005626,21/11/2014
240,1618,4005766,02/12/2014
240,1618,4006081,17/12/2014
240,1618,4006089,18/12/2014
470,3136,4011087,24/12/2014
